source_file,source_sheet,source_row,status,reason
F1,Top Insurers and Brokers,1,header,row in header rows 1-6
F1,Top Insurers and Brokers,2,header,row in header rows 1-6
F1,Top Insurers and Brokers,3,header,row in header rows 1-6
F1,Top Insurers and Brokers,4,header,row in header rows 1-6
F1,Top Insurers and Brokers,5,header,row in header rows 1-6
F1,Top Insurers and Brokers,6,header,row in header rows 1-6
F1,Top Insurers and Brokers,7,ingested,
F1,Top Insurers and Brokers,8,ingested,
F1,Top Insurers and Brokers,9,ingested,
F1,Top Insurers and Brokers,10,ingested,
F1,Top Insurers and Brokers,11,ingested,
F1,Top Insurers and Brokers,12,ingested,
F1,Top Insurers and Brokers,13,ingested,
F1,Top Insurers and Brokers,14,ingested,
F1,Top Insurers and Brokers,15,ingested,
F1,Top Insurers and Brokers,16,ingested,
F1,Top Insurers and Brokers,17,ingested,
F1,Top Insurers and Brokers,18,ingested,
F1,Top Insurers and Brokers,19,ingested,
F1,Top Insurers and Brokers,20,ingested,
F1,Top Insurers and Brokers,21,ingested,
F1,Top Insurers and Brokers,22,ingested,
F1,Top Insurers and Brokers,23,ingested,
F1,Top Insurers and Brokers,24,ingested,
F1,Top Insurers and Brokers,25,ingested,
F1,Top Insurers and Brokers,26,ingested,
F1,Top Insurers and Brokers,27,ingested,
F1,Top Insurers and Brokers,28,ingested,
F1,Top Insurers and Brokers,29,ingested,
F1,Top Insurers and Brokers,30,ingested,
F1,Top Insurers and Brokers,31,ingested,
F1,Top Insurers and Brokers,32,ingested,
F1,Top Insurers and Brokers,33,ingested,
F1,Top Insurers and Brokers,34,ingested,
F1,Top Insurers and Brokers,35,ingested,
F1,Top Insurers and Brokers,36,ingested,
F1,Top Insurers and Brokers,37,ingested,
F1,Top Insurers and Brokers,38,ingested,
F1,Top Insurers and Brokers,39,ingested,
F1,Top Insurers and Brokers,40,ingested,
F1,Top Insurers and Brokers,41,ingested,
F1,Top Insurers and Brokers,42,ingested,
F1,Top Insurers and Brokers,43,ingested,
F1,Top Insurers and Brokers,44,ingested,
F1,Top Insurers and Brokers,45,ingested,
